cpu_speed_ghz,cpu_cores,ram_gb,storage_type,storage_gb,operating_system,target_use_case,price_usd
3.6,8,64,Hybrid,1000,Windows,Workstation,2105
2.1,2,8,SSD,256,Linux,Family,695
3.7,8,32,SSD,1000,Linux,Gaming,1785
2.6,4,8,HDD,256,Windows,Family,760
3.0,6,16,SSD,512,Linux,Business,1180
2.4,4,8,SSD,256,Linux,Family,740
3.65,8,64,Hybrid,1000,Linux,Workstation,2090
2.05,2,4,HDD,128,Chrome OS,Family,615
3.85,8,32,SSD,512,Windows,Gaming,1795
2.75,6,16,Hybrid,512,Linux,Business,1215
2.35,4,8,SSD,256,Linux,Family,735
3.3,8,32,SSD,512,Linux,Gaming,1645
1.9,2,8,HDD,128,Chrome OS,Family,625
2.9,8,64,Hybrid,1000,Linux,Workstation,2070
2.5,4,8,SSD,256,Windows,Family,765
3.75,8,32,Hybrid,1000,Linux,Gaming,1750
2.6,6,16,SSD,512,Windows,Business,1210
2.15,4,8,HDD,256,Linux,Family,720
3.45,8,64,Hybrid,1000,Linux,Workstation,2095
2.0,2,4,SSD,128,Chrome OS,Family,620
3.25,6,32,Hybrid,512,Linux,Gaming,1610
2.55,4,8,SSD,256,Windows,Family,780
3.6,8,32,SSD,1000,Linux,Gaming,1775
2.2,2,8,HDD,128,Windows,Family,680
3.05,6,16,SSD,512,MacOS,Business,1170
3.85,8,64,Hybrid,1000,Linux,Workstation,2140
2.3,4,8,HDD,256,Linux,Family,715
3.15,6,16,SSD,512,Windows,Business,1240
3.45,8,32,Hybrid,1000,Linux,Gaming,1725
2.05,2,8,HDD,128,Chrome OS,Family,645
3.8,8,64,SSD,1000,Linux,Workstation,2145
2.55,4,8,SSD,256,Windows,Family,775
3.25,6,32,Hybrid,512,Linux,Gaming,1635
2.35,4,8,HDD,256,Linux,Family,740
3.6,8,32,SSD,512,Windows,Gaming,1570
1.9,2,4,HDD,128,Chrome OS,Family,620
2.85,6,16,Hybrid,512,Linux,Business,1205
3.5,8,64,Hybrid,1000,Windows,Workstation,2100
2.2,2,8,SSD,256,Linux,Family,700
3.7,8,32,SSD,1000,Linux,Gaming,1795
2.65,4,8,HDD,256,Windows,Family,765
3.1,6,16,SSD,512,Linux,Business,1190
2.4,4,8,SSD,256,Linux,Family,745
3.65,8,64,Hybrid,1000,Linux,Workstation,2105
2.1,2,4,HDD,128,Chrome OS,Family,620
3.9,8,32,SSD,512,Windows,Gaming,1810
2.8,6,16,Hybrid,512,Linux,Business,1225
2.3,4,8,SSD,256,Linux,Family,740
3.35,8,32,SSD,512,Linux,Gaming,1660
1.95,2,8,HDD,128,Chrome OS,Family,635
2.95,8,64,Hybrid,1000,Linux,Workstation,2075
2.5,4,8,SSD,256,Windows,Family,770
3.8,8,32,Hybrid,1000,Linux,Gaming,1755
2.7,6,16,SSD,512,Windows,Business,1215
2.15,4,8,HDD,256,Linux,Family,725
3.5,8,64,Hybrid,1000,Linux,Workstation,2090
2.05,2,4,SSD,128,Chrome OS,Family,620
3.3,6,32,Hybrid,512,Linux,Gaming,1615
2.6,4,8,SSD,256,Windows,Family,780
3.6,8,32,SSD,1000,Linux,Gaming,1775
2.25,2,8,HDD,128,Windows,Family,680
3.0,6,16,SSD,512,MacOS,Business,1170
3.9,8,64,Hybrid,1000,Linux,Workstation,2150
2.3,4,8,HDD,256,Linux,Family,715
3.2,6,16,SSD,512,Windows,Business,1245
3.5,8,32,Hybrid,1000,Linux,Gaming,1730
2.1,2,8,HDD,128,Chrome OS,Family,650
3.85,8,64,SSD,1000,Linux,Workstation,2155
2.6,4,8,SSD,256,Windows,Family,780
3.3,6,32,Hybrid,512,Linux,Gaming,1640
2.4,4,8,HDD,256,Linux,Family,740
3.65,8,32,SSD,512,Windows,Gaming,1580
1.95,2,4,HDD,128,Chrome OS,Family,625
2.9,6,16,Hybrid,512,Linux,Business,1210
3.7,8,64,Hybrid,1000,Windows,Workstation,2115
2.15,2,8,SSD,256,Linux,Family,700
3.75,8,32,SSD,1000,Linux,Gaming,1800
2.7,4,8,HDD,256,Windows,Family,765
3.05,6,16,SSD,512,Linux,Business,1185
2.45,4,8,SSD,256,Linux,Family,745
3.7,8,64,Hybrid,1000,Linux,Workstation,2110
2.1,2,4,HDD,128,Chrome OS,Family,620
3.95,8,32,SSD,512,Windows,Gaming,1820
2.85,6,16,Hybrid,512,Linux,Business,1230
2.35,4,8,SSD,256,Linux,Family,740
3.4,8,32,SSD,512,Linux,Gaming,1665
2.0,2,8,HDD,128,Chrome OS,Family,635
3.0,8,64,Hybrid,1000,Linux,Workstation,2080
2.55,4,8,SSD,256,Windows,Family,775
3.85,8,32,Hybrid,1000,Linux,Gaming,1760
2.8,6,16,SSD,512,Windows,Business,1220
2.2,4,8,HDD,256,Linux,Family,730
3.55,8,64,Hybrid,1000,Linux,Workstation,2100
2.05,2,4,SSD,128,Chrome OS,Family,620
3.35,6,32,Hybrid,512,Linux,Gaming,1620
2.65,4,8,SSD,256,Windows,Family,780
3.7,8,32,SSD,1000,Linux,Gaming,1780
2.3,2,8,HDD,128,Windows,Family,680
3.1,6,16,SSD,512,MacOS,Business,1175
3.95,8,64,Hybrid,1000,Linux,Workstation,2155
2.35,4,8,HDD,256,Linux,Family,720
3.25,6,16,SSD,512,Windows,Business,1250
3.55,8,32,Hybrid,1000,Linux,Gaming,1740
2.1,2,8,HDD,128,Chrome OS,Family,655
3.9,8,64,SSD,1000,Linux,Workstation,2160
2.65,4,8,SSD,256,Windows,Family,785
3.35,6,32,Hybrid,512,Linux,Gaming,1645
2.45,4,8,HDD,256,Linux,Family,745
3.7,8,32,SSD,512,Windows,Gaming,1585
1.95,2,4,HDD,128,Chrome OS,Family,625
2.95,6,16,Hybrid,512,Linux,Business,1215
3.55,8,64,Hybrid,1000,Windows,Workstation,2105
2.2,2,8,SSD,256,Linux,Family,705
3.8,8,32,SSD,1000,Linux,Gaming,1805
2.7,4,8,HDD,256,Windows,Family,770
3.15,6,16,SSD,512,Linux,Business,1195
2.45,4,8,SSD,256,Linux,Family,750
3.7,8,64,Hybrid,1000,Linux,Workstation,2115
2.1,2,4,HDD,128,Chrome OS,Family,620
4.0,8,32,SSD,512,Windows,Gaming,1830
2.9,6,16,Hybrid,512,Linux,Business,1235
2.4,4,8,SSD,256,Linux,Family,740
3.45,8,32,SSD,512,Linux,Gaming,1670
2.05,2,8,HDD,128,Chrome OS,Family,640
3.05,8,64,Hybrid,1000,Linux,Workstation,2085
2.6,4,8,SSD,256,Windows,Family,780
3.9,8,32,Hybrid,1000,Linux,Gaming,1765
2.85,6,16,SSD,512,Windows,Business,1225
2.25,4,8,HDD,256,Linux,Family,735
3.6,8,64,Hybrid,1000,Linux,Workstation,2105
2.05,2,4,SSD,128,Chrome OS,Family,620
3.4,6,32,Hybrid,512,Linux,Gaming,1625
2.7,4,8,SSD,256,Windows,Family,785
3.7,8,32,SSD,1000,Linux,Gaming,1785
2.3,2,8,HDD,128,Windows,Family,685
3.15,6,16,SSD,512,MacOS,Business,1180
3.95,8,64,Hybrid,1000,Linux,Workstation,2160
2.4,4,8,HDD,256,Linux,Family,725
3.3,6,16,SSD,512,Windows,Business,1255
3.6,8,32,Hybrid,1000,Linux,Gaming,1745
2.15,2,8,HDD,128,Chrome OS,Family,660
3.95,8,64,SSD,1000,Linux,Workstation,2165
2.7,4,8,SSD,256,Windows,Family,790
3.4,6,32,Hybrid,512,Linux,Gaming,1650
2.5,4,8,HDD,256,Linux,Family,750
3.75,8,32,SSD,512,Windows,Gaming,1590
2.0,2,4,HDD,128,Chrome OS,Family,630
3.0,6,16,Hybrid,512,Linux,Business,1220
3.6,8,64,Hybrid,1000,Windows,Workstation,2110
2.25,2,8,SSD,256,Linux,Family,710
3.85,8,32,SSD,1000,Linux,Gaming,1810
2.75,4,8,HDD,256,Windows,Family,775
3.2,6,16,SSD,512,Linux,Business,1200
2.5,4,8,SSD,256,Linux,Family,755
3.75,8,64,Hybrid,1000,Linux,Workstation,2120
2.15,2,4,HDD,128,Chrome OS,Family,625
4.05,8,32,SSD,512,Windows,Gaming,1835
2.9,6,16,Hybrid,512,Linux,Business,1240
2.45,4,8,SSD,256,Linux,Family,745
3.5,8,32,SSD,512,Linux,Gaming,1675
2.1,2,8,HDD,128,Chrome OS,Family,645
3.1,8,64,Hybrid,1000,Linux,Workstation,2085
2.65,4,8,SSD,256,Windows,Family,785
3.95,8,32,Hybrid,1000,Linux,Gaming,1770
2.9,6,16,SSD,512,Windows,Business,1230
2.3,4,8,HDD,256,Linux,Family,740
3.65,8,64,Hybrid,1000,Linux,Workstation,2110
2.1,2,4,SSD,128,Chrome OS,Family,625
3.45,6,32,Hybrid,512,Linux,Gaming,1630
2.75,4,8,SSD,256,Windows,Family,785
3.8,8,32,SSD,1000,Linux,Gaming,1790
2.35,2,8,HDD,128,Windows,Family,685
3.2,6,16,SSD,512,MacOS,Business,1185
4.0,8,64,Hybrid,1000,Linux,Workstation,2165
2.4,4,8,HDD,256,Linux,Family,730
3.35,6,16,SSD,512,Windows,Business,1260
3.65,8,32,Hybrid,1000,Linux,Gaming,1750
2.2,2,8,HDD,128,Chrome OS,Family,665
4.0,8,64,SSD,1000,Linux,Workstation,2170
2.75,4,8,SSD,256,Windows,Family,795
3.45,6,32,Hybrid,512,Linux,Gaming,1655
2.55,4,8,HDD,256,Linux,Family,755
3.8,8,32,SSD,512,Windows,Gaming,1595
2.05,2,4,HDD,128,Chrome OS,Family,630
3.05,6,16,Hybrid,512,Linux,Business,1225
3.65,8,64,Hybrid,1000,Windows,Workstation,2115
2.3,2,8,SSD,256,Linux,Family,715
3.9,8,32,SSD,1000,Linux,Gaming,1815
2.8,4,8,HDD,256,Windows,Family,780
3.25,6,16,SSD,512,Linux,Business,1205
2.55,4,8,SSD,256,Linux,Family,760
3.8,8,64,Hybrid,1000,Linux,Workstation,2125
2.2,2,4,HDD,128,Chrome OS,Family,630
4.1,8,32,SSD,512,Windows,Gaming,1840
2.95,6,16,Hybrid,512,Linux,Business,1245
2.5,4,8,SSD,256,Linux,Family,750
3.55,8,32,SSD,512,Linux,Gaming,1680
2.15,2,8,HDD,128,Chrome OS,Family,645
3.1,8,64,Hybrid,1000,Linux,Workstation,2090
2.7,4,8,SSD,256,Windows,Family,790
4.0,8,32,Hybrid,1000,Linux,Gaming,1775
2.95,6,16,SSD,512,Windows,Business,1235
2.4,4,8,HDD,256,Linux,Family,745
3.7,8,64,Hybrid,1000,Linux,Workstation,2115
2.15,2,4,SSD,128,Chrome OS,Family,625
3.5,6,32,Hybrid,512,Linux,Gaming,1635
2.8,4,8,SSD,256,Windows,Family,790
3.85,8,32,SSD,1000,Linux,Gaming,1795
2.4,2,8,HDD,128,Windows,Family,690
3.25,6,16,SSD,512,MacOS,Business,1190
4.05,8,64,Hybrid,1000,Linux,Workstation,2170
2.45,4,8,HDD,256,Linux,Family,735
3.4,6,16,SSD,512,Windows,Business,1265
3.7,8,32,Hybrid,1000,Linux,Gaming,1755
2.25,2,8,HDD,128,Chrome OS,Family,670
4.05,8,64,SSD,1000,Linux,Workstation,2175
2.8,4,8,SSD,256,Windows,Family,800
3.5,6,32,Hybrid,512,Linux,Gaming,1660
2.6,4,8,HDD,256,Linux,Family,760
3.85,8,32,SSD,512,Windows,Gaming,1600
2.1,2,4,HDD,128,Chrome OS,Family,635
3.1,6,16,Hybrid,512,Linux,Business,1230
3.7,8,64,Hybrid,1000,Windows,Workstation,2120
2.35,2,8,SSD,256,Linux,Family,720
3.95,8,32,SSD,1000,Linux,Gaming,1820
2.85,4,8,HDD,256,Windows,Family,785
3.3,6,16,SSD,512,Linux,Business,1210
2.6,4,8,SSD,256,Linux,Family,765
3.85,8,64,Hybrid,1000,Linux,Workstation,2130
2.25,2,4,HDD,128,Chrome OS,Family,635
4.15,8,32,SSD,512,Windows,Gaming,1845
3.0,6,16,Hybrid,512,Linux,Business,1250
2.55,4,8,SSD,256,Linux,Family,755
3.6,8,32,SSD,512,Linux,Gaming,1685
2.2,2,8,HDD,128,Chrome OS,Family,650
3.15,8,64,Hybrid,1000,Linux,Workstation,2095
2.75,4,8,SSD,256,Windows,Family,795
4.05,8,32,Hybrid,1000,Linux,Gaming,1780
3.0,6,16,SSD,512,Windows,Business,1240
2.45,4,8,HDD,256,Linux,Family,750
3.75,8,64,Hybrid,1000,Linux,Workstation,2120
2.2,2,4,SSD,128,Chrome OS,Family,630
3.55,6,32,Hybrid,512,Linux,Gaming,1635
2.85,4,8,SSD,256,Windows,Family,790
3.9,8,32,SSD,1000,Linux,Gaming,1800
2.45,2,8,HDD,128,Windows,Family,695
3.3,6,16,SSD,512,MacOS,Business,1195
4.1,8,64,Hybrid,1000,Linux,Workstation,2175
2.5,4,8,HDD,256,Linux,Family,740
3.45,6,16,SSD,512,Windows,Business,1270
3.75,8,32,Hybrid,1000,Linux,Gaming,1760
2.3,2,8,HDD,128,Chrome OS,Family,675
4.1,8,64,SSD,1000,Linux,Workstation,2180
2.85,4,8,SSD,256,Windows,Family,805
3.55,6,32,Hybrid,512,Linux,Gaming,1665
2.65,4,8,HDD,256,Linux,Family,765
3.9,8,32,SSD,512,Windows,Gaming,1605
2.15,2,4,HDD,128,Chrome OS,Family,640
3.15,6,16,Hybrid,512,Linux,Business,1235
3.75,8,64,Hybrid,1000,Windows,Workstation,2125
2.4,2,8,SSD,256,Linux,Family,725
4.0,8,32,SSD,1000,Linux,Gaming,1825
2.9,4,8,HDD,256,Windows,Family,790
3.35,6,16,SSD,512,Linux,Business,1215
2.65,4,8,SSD,256,Linux,Family,770
3.9,8,64,Hybrid,1000,Linux,Workstation,2135
2.3,2,4,HDD,128,Chrome OS,Family,640
4.2,8,32,SSD,512,Windows,Gaming,1850
3.05,6,16,Hybrid,512,Linux,Business,1255
2.6,4,8,SSD,256,Linux,Family,760
3.65,8,32,SSD,512,Linux,Gaming,1690
2.25,2,8,HDD,128,Chrome OS,Family,655
3.2,8,64,Hybrid,1000,Linux,Workstation,2100
2.8,4,8,SSD,256,Windows,Family,800
4.1,8,32,Hybrid,1000,Linux,Gaming,1785
3.05,6,16,SSD,512,Windows,Business,1245
2.5,4,8,HDD,256,Linux,Family,755
3.8,8,64,Hybrid,1000,Linux,Workstation,2125
2.25,2,4,SSD,128,Chrome OS,Family,635
3.6,6,32,Hybrid,512,Linux,Gaming,1640
2.9,4,8,SSD,256,Windows,Family,795
3.95,8,32,SSD,1000,Linux,Gaming,1805
2.5,2,8,HDD,128,Windows,Family,700
3.35,6,16,SSD,512,MacOS,Business,1200
4.15,8,64,Hybrid,1000,Linux,Workstation,2180
2.55,4,8,HDD,256,Linux,Family,745
3.5,6,16,SSD,512,Windows,Business,1275
3.8,8,32,Hybrid,1000,Linux,Gaming,1765
2.35,2,8,HDD,128,Chrome OS,Family,680
4.15,8,64,SSD,1000,Linux,Workstation,2185
2.9,4,8,SSD,256,Windows,Family,810
3.6,6,32,Hybrid,512,Linux,Gaming,1670
2.7,4,8,HDD,256,Linux,Family,770
3.95,8,32,SSD,512,Windows,Gaming,1610
2.2,2,4,HDD,128,Chrome OS,Family,645
3.2,6,16,Hybrid,512,Linux,Business,1240
3.8,8,64,Hybrid,1000,Windows,Workstation,2130
2.45,2,8,SSD,256,Linux,Family,730
4.05,8,32,SSD,1000,Linux,Gaming,1830
2.95,4,8,HDD,256,Windows,Family,795
3.4,6,16,SSD,512,Linux,Business,1220
2.7,4,8,SSD,256,Linux,Family,775
3.95,8,64,Hybrid,1000,Linux,Workstation,2140
2.35,2,4,HDD,128,Chrome OS,Family,645
4.25,8,32,SSD,512,Windows,Gaming,1855
3.1,6,16,Hybrid,512,Linux,Business,1260
2.65,4,8,SSD,256,Linux,Family,765
3.7,8,32,SSD,512,Linux,Gaming,1695
2.3,2,8,HDD,128,Chrome OS,Family,660
3.25,8,64,Hybrid,1000,Linux,Workstation,2105
2.85,4,8,SSD,256,Windows,Family,805
4.15,8,32,Hybrid,1000,Linux,Gaming,1790
3.1,6,16,SSD,512,Windows,Business,1250
2.55,4,8,HDD,256,Linux,Family,760
